Year,Rank,Movie Name,MovieURL,Gross,Theaters,Total Gross,Release Date
2023,159,The Menu,https://www.boxofficemojo.com/release/rl2839380737/?ref_=bo_yld_table_159,,,"$2,779,574","3,228"
2023,160,Tu Jhoothi Main Makkaar,https://www.boxofficemojo.com/release/rl3657270017/?ref_=bo_yld_table_160,,,"$2,503,604",400
2023,161,Come Out in Jesus Name,https://www.boxofficemojo.com/release/rl4035412737/?ref_=bo_yld_table_161,,,"$2,500,574","1,047"
2023,162,The Miracle Club,https://www.boxofficemojo.com/release/rl983663361/?ref_=bo_yld_table_162,,,"$2,377,438",677
2023,163,A Good Person,https://www.boxofficemojo.com/release/rl566723329/?ref_=bo_yld_table_163,,,"$2,210,465",687
2023,164,Moving On,https://www.boxofficemojo.com/release/rl1374716673/?ref_=bo_yld_table_164,,,"$2,136,832",794
2023,165,Skinamarink,https://www.boxofficemojo.com/release/rl2767291137/?ref_=bo_yld_table_165,,,"$2,052,272",809
2023,166,"Die Hard
2023 Re-release",https://www.boxofficemojo.com/release/rl3108274177/?ref_=bo_yld_table_166,,,"$2,048,453","1,355"
2023,167,Jules,https://www.boxofficemojo.com/release/rl2325447425/?ref_=bo_yld_table_167,,,"$1,924,922",780
2023,168,Somewhere in Queens,https://www.boxofficemojo.com/release/rl1978434305/?ref_=bo_yld_table_168,,,"$1,802,442",602
2023,169,The Marsh King's Daughter,https://www.boxofficemojo.com/release/rl280265473/?ref_=bo_yld_table_169,,,"$1,792,905","1,055"
2023,170,"Oldboy
2023 Re-release",https://www.boxofficemojo.com/release/rl2460451585/?ref_=bo_yld_table_170,,,"$1,750,719",250
2023,171,Winnie-the-Pooh: Blood and Honey,https://www.boxofficemojo.com/release/rl3925050113/?ref_=bo_yld_table_171,,,"$1,750,639","1,652"
2023,172,Fear,https://www.boxofficemojo.com/release/rl772702977/?ref_=bo_yld_table_172,,,"$1,735,359",974
2023,173,Lost in the Stars,https://www.boxofficemojo.com/release/rl883393281/?ref_=bo_yld_table_173,,,"$1,721,446",-
